,News Source,Tweet,Tweets Ago,Date,Compound,Positive,Neutral,Negative
0,@BBCNews,Newspaper headlines: Trump's 'fake schmooze' over trade deal https://t.co/1fMHozh4ER,1,Fri Jul 13 23:01:37 +0000 2018,-0.4767,0.0,0.279,0.721
1,@BBCNews,Scarlett Johansson quits trans role after LGBT backlash https://t.co/c5mYtHsEUa,2,Fri Jul 13 21:48:19 +0000 2018,0.0,0.0,0.0,1.0
2,@BBCNews,Pakistan election: More than 100 die in bomb attacks on poll rallies https://t.co/uqurwHAuU5,3,Fri Jul 13 20:07:34 +0000 2018,-0.8824,0.0,0.507,0.493
3,@BBCNews,Trump May meeting: The Wacky Races of press conferences https://t.co/huy3vkpiZU,4,Fri Jul 13 19:13:41 +0000 2018,0.0,0.0,0.0,1.0
4,@BBCNews,Wimbledon 2018: Kevin Anderson beats John Isner in record-breaking semi-final https://t.co/g5YRslPVPd,5,Fri Jul 13 19:08:49 +0000 2018,0.0,0.0,0.0,1.0
5,@BBCNews,RT @BBCJonSopel: Meet Dick Dastardly and Penelope Pitstop. My blog on another extraordinary day. #TrumpVisitUK  https://t.co/M80Ot4wbPA,6,Fri Jul 13 17:59:32 +0000 2018,-0.5106,0.0,0.18,0.82
6,@BBCNews,"Grenfell Tower fire: Two jailed for £125,000 relief fraud https://t.co/FNxyk74GnX",7,Fri Jul 13 17:57:32 +0000 2018,-0.743,0.168,0.508,0.324
7,@BBCNews,"Jeremy Corbyn says it's not Trump's business who's the British PM, after the US president's endorsement of Boris Jo… https://t.co/iqv0TQH6Ej",8,Fri Jul 13 17:56:57 +0000 2018,0.3182,0.108,0.0,0.892
8,@BBCNews,John Surtees' 'very special' 1957 BMW sells for £4m https://t.co/J5w7ShQKbE,9,Fri Jul 13 17:54:46 +0000 2018,0.4576,0.25,0.0,0.75
9,@BBCNews,"RT @BBCLookNorth: There's a large rally against Donald Trump taking place in Sheffield. 

Read more: https://t.co/32ZcFAKT5d https://t.co/c…",10,Fri Jul 13 17:32:43 +0000 2018,0.0,0.0,0.0,1.0
10,@BBCNews,"RT @BBCSport: All of England's 2018 #worldcup magic moments
https://t.co/69x5UKi0Oz  #bbcworldcupmoments",11,Fri Jul 13 17:22:33 +0000 2018,0.0,0.0,0.0,1.0
11,@BBCNews,"RT @bbctennis: FIVE hours!

Isner &amp; Anderson are leaving it all out there on Centre Court.

📺 @BBCTwo 
📻 @5liveSport
💻📱 https://t.co/ldFFv9…",12,Fri Jul 13 17:16:56 +0000 2018,0.0,0.0,0.0,1.0
12,@BBCNews,🦁🦁🦁 https://t.co/uXbMUa477s,13,Fri Jul 13 17:15:46 +0000 2018,0.0,0.0,0.0,1.0
13,@BBCNews,Russians indicted over US election hack https://t.co/bLMBcltdNE,14,Fri Jul 13 17:15:17 +0000 2018,0.0,0.0,0.0,1.0
14,@BBCNews,"RT @bbctennis: Gordon Reid and Alfie Hewett are Wimbledon finalists once again!

The British pair have won their men's wheelchair semi-fina…",15,Fri Jul 13 17:14:48 +0000 2018,0.6114,0.166,0.0,0.834
15,@BBCNews,US President Donald Trump flies away from Windsor Castle in Marine One after meeting the Queen. He's due to fly to… https://t.co/6pKWSzhp51,16,Fri Jul 13 17:11:54 +0000 2018,0.0,0.0,0.0,1.0
16,@BBCNews,US President Donald Trump and his wife Melania leave Windsor Castle after meeting the Queen… https://t.co/OCP6ooK7yu,17,Fri Jul 13 17:06:35 +0000 2018,-0.0516,0.0,0.074,0.926
17,@BBCNews,RT @BBCNewsGraphics: The Queen has seen plenty of world leaders come and go - Donald Trump is the 13th US President during her reign https:…,18,Fri Jul 13 16:55:40 +0000 2018,0.0,0.0,0.0,1.0
18,@BBCNews,#PlaneBae: A cautionary tale about privacy when a story goes viral https://t.co/mYMdEYjf5J,19,Fri Jul 13 16:51:27 +0000 2018,0.0,0.0,0.0,1.0
19,@BBCNews,Three Lions breaks chart record https://t.co/c0En0n4Wsw,20,Fri Jul 13 16:49:15 +0000 2018,0.0,0.0,0.0,1.0
20,@BBCNews,RT @BBCBreaking: Former PM Nawaz Sharif arrested on return to Pakistan as elsewhere scores die in blasts targeting election rallies https:/…,21,Fri Jul 13 16:48:24 +0000 2018,-0.7906,0.0,0.269,0.731
21,@BBCNews,"Thousands of anti-Trump protesters gather in Trafalgar Square, central London 

https://t.co/BlLsEwTJPE… https://t.co/Bih9qr1huU",22,Fri Jul 13 16:44:16 +0000 2018,-0.2263,0.0,0.147,0.853
22,@BBCNews,RT @BBCScotlandNews: Protestors gather ahead of Donald Trump's arrival in Scotland https://t.co/6kjEcnrTjE https://t.co/I5MCgrqZWJ,23,Fri Jul 13 16:34:50 +0000 2018,0.0,0.0,0.0,1.0
23,@BBCNews,"RT @BBCSport: Gareth Southgate says he is happy with raised expectations after England's #WorldCup run, because ""belief"" has also increased…",24,Fri Jul 13 16:31:54 +0000 2018,0.5719,0.163,0.0,0.837
24,@BBCNews,Papa John's logo to change after founder uses N-word https://t.co/DtIYkiUG9C,25,Fri Jul 13 16:29:31 +0000 2018,0.0,0.0,0.0,1.0
25,@BBCNews,"RT @BBCBreaking: 12 Russian intelligence officers indicted for hacking Democrat emails during 2016 election, US authorities announce https:…",26,Fri Jul 13 16:13:10 +0000 2018,0.4767,0.154,0.0,0.846
26,@BBCNews,'Dump Trump': Views from the London marches https://t.co/3I4db1rBxm,27,Fri Jul 13 16:07:23 +0000 2018,-0.3818,0.0,0.271,0.729
27,@BBCNews,"RT @BBCBreaking: Queen Elizabeth II meets US President Donald Trump at Windsor Castle 

https://t.co/3Q606Y04yc #TrumpVisitUK https://t.co/…",28,Fri Jul 13 16:06:59 +0000 2018,0.0,0.0,0.0,1.0
28,@BBCNews,Turnberry braced for Trump arrival https://t.co/MmZR5ErfLO,29,Fri Jul 13 15:37:23 +0000 2018,0.0,0.0,0.0,1.0
29,@BBCNews,Heatwave threatens to cause shortage of peas https://t.co/lGdl4oS2D4,30,Fri Jul 13 15:31:06 +0000 2018,-0.5574,0.0,0.434,0.566
30,@BBCNews,"Leeds school uses spoons to help prevent forced marriage

https://t.co/UKQdtjEVtm https://t.co/5l6HYCkirz",31,Fri Jul 13 15:24:20 +0000 2018,-0.0516,0.257,0.203,0.541
31,@BBCNews,"Isner loves a marathon match 🎾

#wimbledon coverage continues on @BBCOne https://t.co/YhpZHZqAq3",32,Fri Jul 13 15:13:35 +0000 2018,0.5719,0.27,0.0,0.73
32,@BBCNews,"Donald Trump: US-UK relationship is 'highest level of special'

https://t.co/F78B9tSdKS #TrumpVisitUK https://t.co/D13RfEJoOj",33,Fri Jul 13 15:02:09 +0000 2018,0.4019,0.197,0.0,0.803
